"SUBMITTED_DATE","CASE_NO","NAME","ADDRESS","ADDRESS2","CITY","STATE","POSTAL_CODE","NBR_IMMIGRANTS","BEGIN_DATE","END_DATE","JOB_TITLE","DOL_DECISION_DATE","CERTIFIED_BEGIN_DATE","CERTIFIED_END_DATE","JOB_CODE","APPROVAL_STATUS","WAGE_RATE_1","RATE_PER_1","MAX_RATE_1","PART_TIME_1","CITY_1","STATE_1","PREVAILING_WAGE_1","WAGE_SOURCE_1","YR_SOURCE_PUB_1","OTHER_WAGE_SOURCE_1","WAGE_RATE_2","RATE_PER_2","MAX_RATE_2","PART_TIME_2","CITY_2","STATE_2","PREVAILING_WAGE_2","WAGE_SOURCE_2","YR_SOURCE_PUB_2","OTHER_WAGE_SOURCE_2"
2002-01-14 11:44:00,"I-02014-0000057","Dean A. McGee Eye Institute","608 Staton L. Young Boulevard","","Oklahoma City","OK","73104     ","001","02/01/2002","02/01/2005","Director of Ocular Prosthetics","01/14/2002","02/01/2002","02/01/2005","189","Certified",100000.00000,"Year",,"N","Oklahoma City","OK",66352.00000,"SESA","","","","","","","","","","","",""
2002-01-14 11:48:00,"I-02014-0000059","Heritage India Restaurant","4931 Cordell Avenue","","Bethesda","MD","20814     ","001","02/10/2002","02/10/2005","Executive Chef","01/14/2002","02/10/2002","02/10/2005","199","Certified",24650.00000,"Year",,"N","Bethesda","MD",24606.00000,"Other","2002","OES Wage Data Survey","","","","","","","","","",""
2002-01-14 11:57:00,"I-02014-0000061","The University of Memphis","University Center 405","The University of Memphis","Memphis","TN","38152     ","001","01/16/2002","08/31/2002","Visiting Assistant Professor","01/14/2002","01/16/2002","08/31/2002","090","Certified",5000.00000,"Month",,"N","Memphis","TN",2302.00000,"SESA","","","","","","","","","","","",""
2002-01-14 12:01:00,"I-02014-0000063","Computer Horizons Corporation","49 Old Bloomfield Avenue","","Mountain Lakes","NJ","07046-1495","001","01/21/2002","01/20/2005","Systems Analyst","01/14/2002","01/21/2002","01/20/2005","030","Certified",34.00000,"Hour",,"Y","Mountain Lakes","NJ",32.03000,"SESA","","","","","","","","","","","",""
2002-01-14 12:05:00,"I-02014-0000067","International Business Machines","4800 Falls of Neuse Rd","","Raleigh","NC","27609     ","001","02/01/2002","02/01/2005","staff software engineer","01/14/2002","02/01/2002","02/01/2005","030","Certified",80000.00000,"Year",95000.00000,"N","san jose","CA",59176.00000,"Other","2002","oes wage data","","","","","","","","","",""
2002-01-14 12:06:00,"I-02014-0000069","Silicon Access Networks","211 River Oaks Parkway","","San Jose","CA","95134     ","005","07/01/2002","07/01/2005","Verification Engineer","01/14/2002","07/01/2002","07/01/2005","003","Certified",70650.00000,"Year",,"N","San Jose","CA",70300.00000,"Other","2001","2001-2002 Watson Wyatt Survey","","","","","","","","","",""
2002-01-14 12:10:00,"I-02014-0000073","The University of Memphis","University Center 405","The University of Memphis","Memphis","TN","38152     ","001","05/14/2002","05/13/2005","Local Technical Service Provider","01/14/2002","05/14/2002","05/13/2005","090","Certified",31000.00000,"Year",,"N","Memphis","TN",22797.00000,"SESA","","","","","","","","","","","",""
2002-01-14 12:16:00,"I-02014-0000075","Progressive Casualty Insurance Company","6300 Wilson Mills Road","","Mayfield Village","OH","44143     ","001","04/30/2002","01/12/2004","Application Systems Analyst Programmer","01/14/2002","04/30/2002","01/12/2004","030","Certified",63160.00000,"Year",,"N","Mayfield Village","OH",53700.00000,"Other","2000","William Mercer Information Technology Survey","","","","","","","","","",""
2002-01-14 12:18:00,"I-02014-0000077","The University of Memphis","University Center 405","The University of Memphis","Memphis","TN","38152     ","001","05/14/2002","05/13/2005","Research Associate","01/14/2002","05/14/2002","05/13/2005","090","Certified",30000.00000,"Year",,"N","Memphis","TN",29973.00000,"SESA","","","","","","","","","","","",""
2002-01-14 12:24:00,"I-02014-0000079","HOK Group, Inc.","211 N. Broadway","Suite 600","St. Louis","MO","63102     ","001","02/03/2002","02/02/2005","Facilities Planner","01/14/2002","02/03/2002","02/02/2005","019","Certified",60000.00000,"Year",,"N","New York","NY",53269.00000,"Other","2002","OES/SOC Online Wage Library","","","","","","","","","",""
2002-01-14 12:34:00,"I-02014-0000083","The University of Memphis","University Center 405","The University of Memphis","Memphis","TN","38152     ","001","05/14/2002","05/13/2005","Instructor of Spanish","01/14/2002","05/14/2002","05/13/2005","090","Certified",30000.00000,"Year",,"N","Memphis","TN",30000.00000,"SESA","","","","","","","","","","","",""
2002-01-14 12:35:00,"I-02014-0000085","University of Colorado Health Sciences Center","International Scholars and Students Office","4200 East 9th Avenue, A-040","Denver","CO","80262     ","001","07/01/2002","06/30/2005","Regular Fellow","01/14/2002","07/01/2002","06/30/2005","041","Certified",34500.00000,"Year",,"N","Denver","CO",26998.00000,"SESA","","","","","","","","","","","",""
2002-01-14 12:38:00,"I-02014-0000087","The University of Memphis","University Center 405","The University of Memphis","Memphis","TN","38152     ","001","02/01/2002","01/31/2003","Post-Doctoral Research Associate","01/14/2002","02/01/2002","01/31/2003","090","Certified",30000.00000,"Year",,"N","Memphis","TN",23546.00000,"SESA","","","","","","","","","","","",""
2002-01-14 12:39:00,"I-02014-0000091","COREOBJECTS SOFTWARE, INC.","5855 Green Valley Circle, Ste 302","","Culver City","CA","90230     ","001","01/21/2002","01/21/2005","Software Engineer","01/14/2002","01/21/2002","01/21/2005","030","Certified",80000.00000,"Year",,"N","Culver City","CA",67475.00000,"Other","2002","Online Wage Library","","","","","","","","","",""
2002-01-14 12:44:00,"I-02014-0000093","i2 TECHNOLOGIES US INC","11511 LUNA ROAD","","DALLAS","TX","75234     ","001","02/01/2002","01/31/2003","APPLICATIONS ENGINEER","01/14/2002","02/01/2002","01/31/2003","030","Certified",85000.00000,"Year",,"N","DALLAS","TX",47382.00000,"Other","2002","OES WAGE LIBRARY","","","","","","","","","",""
2002-01-14 12:52:00,"I-02014-0000097","Lawrence Berkeley National Laboratory","1 Cyclotron Rd.","","Berkeley","CA","94720     ","001","02/17/2002","02/16/2005","Geological Science Postdoc","01/14/2002","02/17/2002","02/16/2005","024","Certified",51960.00000,"Year",,"N","Berkeley","CA",27267.00000,"SESA","","","","","","","","","","","",""
2002-01-14 12:58:00,"I-02014-0000099","The University of Memphis","University Center 405","The University of Memphis","Memphis","TN","38152     ","001","02/01/2002","01/31/2005","Immigration Specialist","01/14/2002","02/01/2002","01/31/2005","090","Certified",36485.00000,"Year",,"N","Memphis","TN",22443.00000,"SESA","","","","","","","","","","","",""
2002-01-14 13:04:00,"I-02014-0000103","STMicroelectronics, Inc.","1060 East Brokaw Road, MS 108","","San Jose","CA","95131     ","001","01/14/2002","01/14/2005","Business Development Manager","01/14/2002","01/14/2002","01/14/2005","030","Certified",140000.00000,"Year",,"N","San Jose","CA",125341.00000,"Other","2002","OES","","","","","","","","","",""
2002-01-14 13:04:00,"I-02014-0000105","Unifacmanu International Trading Co., Ltd.","420 Lexington Avenue, Suite 2432","","New York","NY","10170-0001","001","06/01/2002","05/31/2005","Business Research Analyst","01/14/2002","06/01/2002","05/31/2005","186","Certified",40500.00000,"Year",,"N","New York","NY",40400.00000,"Other","2001","Watson Wyatt Survey","","","","","","","","","",""
2002-01-14 13:07:00,"I-02014-0000101","Mitchell Silberberg & Knupp LLP","11377 W. Olympic Blvd.","","Los Angeles","CA","90064     ","001","01/14/2002","01/13/2005","Human Resources Director","01/14/2002","01/14/2002","01/13/2005","166","Certified",75000.00000,"Year",,"N","Los Angeles","CA",75941.00000,"Other","2002","OES","","","","","","","","","",""
2002-01-14 13:08:00,"I-02014-0000107","University of Virginia","International Studies Office","208 Minor Hall, POB 400165","Charlottesville","VA","22904-4165","001","02/01/2002","01/31/2003","RESEARCH ASSOICATE  PEDIATRICS","01/14/2002","02/01/2002","01/31/2003","041","Certified",62000.00000,"Year",,"N","CHARLOTTESVILLE","VA",61963.00000,"SESA","","","","","","","","","","","",""
2002-01-14 13:09:00,"I-02014-0000095","Network Associates Inc","3965 Freedom Circle","","Santa Clara","CA","95054     ","001","02/11/2002","02/11/2005","Business Analyst","01/14/2002","02/11/2002","02/11/2005","050","Certified",110000.00000,"Year",,"N","Santa Clara","CA",104940.00000,"Other","2001","Radford Benchmark","","","","","","","","","",""
2002-01-14 13:11:00,"I-02014-0000109","AXA Assistance USA, Inc.","200 West Jackson Blvd., Suite 1100","","Chicago","IL","60606     ","001","07/11/2002","07/10/2005","Assistant Coordinator","01/14/2002","07/11/2002","07/10/2005","045","Certified",25000.00000,"Year",,"N","Chicago","IL",23192.00000,"Other","2002","OES Wage Data","","","","","","","","","",""
2002-01-14 13:12:00,"I-02014-0000111","NICK AND SAMS STEAK AND FISH HOUSE","3008 MAPLE AVENUE","","DALLAS","TX","75201     ","001","04/01/2002","03/31/2003","CONTROLLER","01/14/2002","04/01/2002","03/31/2003","161","Certified",70000.00000,"Year",,"N","DALLAS","TX",46072.00000,"Other","2002","OES WAGE LIBRARY","","","","","","","","","",""
2002-01-14 13:17:00,"I-02014-0000115","University of Virginia","International Studies Office","208 Minor Hall, POB 400165","Charlottesville","VA","22904-4165","001","02/01/2002","01/31/2003","RESEARCH ASSOCIATE PEDIATRICS","01/14/2002","02/01/2002","01/31/2003","041","Certified",32000.00000,"Year",,"N","CHARLOTTESVILLE","VA",21029.00000,"SESA","","","","","","","","","","","",""
2002-01-14 13:20:00,"I-02014-0000117","Carnival Corporation","3655 N.W. 87th Avenue","","Miami","FL","33178     ","001","02/01/2002","02/01/2005","Shoreside Manager of Casino Operations","01/14/2002","02/01/2002","02/01/2005","189","Certified",70000.00000,"Year",,"N","miami","FL",66186.00000,"SESA","","","","","","","","","","","",""
2002-01-14 13:29:00,"I-02014-0000119","University of Virginia","International Studies Office","208 Minor Hall, POB 400165","Charlottesville","VA","22904-4165","001","03/01/2002","02/28/2004","RES ASSISTANT PLASTIC SURGERY","01/14/2002","03/01/2002","02/28/2004","041","Certified",26600.00000,"Year",,"N","CHARLOTTESVILLE","VA",26582.00000,"SESA","","","","","","","","","","","",""
2002-01-14 13:34:00,"I-02014-0000123","University of California, San Diego","9500 Gilman Dr.","","La Jolla","CA","92093-0018","001","02/01/2002","01/31/2005","Assist. Project  Scientist","01/14/2002","02/01/2002","01/31/2005","023","Certified",56800.00000,"Year",,"N","La Jolla","CA",24086.40000,"SESA","","","","","","","","","","","",""
2002-01-14 13:35:00,"I-02014-0000125","GE Financial Assurance","701 Highlander Road","Suite 400","Arlington","TX","76015     ","001","01/15/2002","01/14/2005","Unix Administrator","01/14/2002","01/15/2002","01/14/2005","030","Certified",60000.00000,"Year",80000.00000,"N","Arlington","TX",60000.00000,"Other","2002","Watson Wyatt","","","","","","","","","",""
2002-01-14 13:40:00,"I-02014-0000127","University of Virginia","International Studies Office","208 Minor Hall, POB 400165","Charlottesville","VA","22904-4165","001","06/01/2002","05/30/2005","RESEARCH SCIENTIST BIOLOGY","01/14/2002","06/01/2002","05/30/2005","041","Certified",37900.00000,"Year",,"N","CHARLOTTESVILLE","VA",24029.00000,"SESA","","","","","","","","","","","",""
2002-01-14 13:42:00,"I-02014-0000129","CYMBAL CORPORATION","1150 NORTH FIRST STREET","SUITE 201","SAN JOSE","CA","95112     ","001","01/14/2002","01/13/2005","SYSTEMS ANALYST","01/14/2002","01/14/2002","01/13/2005","030","Certified",60000.00000,"Year",,"N","SAN FRANCISCO","CT",48381.00000,"Other","2002","OES WAGE SURVEY","","","","","","","","","",""
2002-01-14 13:44:00,"I-02014-0000131","Millennium Pharmaceuticals, Inc.","One Broadway","","Cambridge","MA","02142     ","025","01/15/2002","01/15/2005","Software Engineer","01/14/2002","01/15/2002","01/15/2005","030","Certified",57000.00000,"Year",137000.00000,"N","Cambridge","MA",56763.00000,"Other","2002","Online Wage Library","","","","","","","","","",""
2002-01-14 13:47:00,"I-02014-0000133","AIRNET COMMUNICATIONS CORP.","3950 DOW ROAD","","MELBOURNE","FL","32934     ","001","03/01/2002","02/28/2005","DIRECTOR, ENGINEERING MARKETING","01/14/2002","03/01/2002","02/28/2005","003","Certified",95000.00000,"Year",,"N","MELBOURNE","FL",75837.00000,"Other","2001","OES/SOC WAGE DATA LEVEL 2","","","","","","","","","",""
2002-01-14 13:47:00,"I-02014-0000135","ALSTOM ESCA Corporation","11120 N.E. 33rd Pl.","","Bellevue","WA","98004     ","001","05/01/2002","04/30/2005","Power Systems Engineer","01/14/2002","05/01/2002","04/30/2005","030","Certified",36000.00000,"Year",60000.00000,"N","Bellevue","WA",37752.00000,"Other","2001","OES Website","","","","","","","","","",""
2002-01-14 13:50:00,"I-02014-0000137","Priceline.com LLC","800 Connecticut Avenue","","Norwalk","CT","06954     ","001","01/14/2002","01/14/2005","Software Engineer","01/14/2002","01/14/2002","01/14/2005","030","Certified",100000.00000,"Year",,"N","Norwalk","CT",70000.00000,"Other","2001","Online Wage Library","","","","","","","","","",""
2002-01-14 13:51:00,"I-02014-0000139","University of Virginia","International Studies Office","208 Minor Hall, POB 400165","Charlottesville","VA","22904-4165","001","03/20/2002","08/15/2004","RESEARCH ASSOCIATE PHYSICS","01/14/2002","03/20/2002","08/15/2004","023","Certified",30000.00000,"Year",,"N","CHARLOTTESVILLE","AK",25293.00000,"SESA","","","","","","","","","","","",""
2002-01-14 13:58:00,"I-02014-0000141","University Of California, San Diego","9500 Gilman Drive","","La Jolla","CA","92093-0018","001","04/12/2002","04/11/2005","Postgraduate Researcher Scientist","01/14/2002","04/12/2002","04/11/2005","041","Certified",33696.00000,"Year",,"N","La Jolla","CA",23546.00000,"SESA","","","","","","","","","","","",""
2002-01-14 13:58:00,"I-02014-0000065","ITG Inc","44 Farnsworth Street","9th Floor","Boston","MA","02210     ","001","03/01/2002","02/28/2005","Research Analyst","01/14/2002","03/01/2002","02/28/2005","039","Certified",60000.00000,"Year",,"N","New York","NY",49130.00000,"Other","2002","OES Wage Data Survey","","","","","","","","","",""
2002-01-14 14:04:00,"I-02014-0000143","JDA Software Group Inc","14400 North 87th Street","","Scottsdale","AZ","85260-3649","001","03/30/2002","03/30/2005","Director of Client Product Development","01/14/2002","03/30/2002","03/30/2005","032","Certified",120000.00000,"Year",,"N","Marietta","GA",101421.00000,"SESA","","","","","","","","","","","",""
2002-01-14 14:05:00,"I-02014-0000145","Siemens Westinghouse Power Corporation","4400 Alafaya Trail","","Orlando","FL","32826     ","001","02/15/2002","02/15/2005","Mechanical Engineer","01/14/2002","02/15/2002","02/15/2005","007","Certified",50000.00000,"Year",,"N","Orlando","FL",40000.00000,"Other","2001","OES","","","","","","","","","",""
2002-01-14 14:07:00,"I-02014-0000149","University Of California, San Diego","9500 Gilman Drive","","La Jolla","CA","92093-0018","001","06/01/2002","05/31/2005","Assistant Research Scientist","01/14/2002","06/01/2002","05/31/2005","023","Certified",59000.00000,"Year",,"N","La Jolla","CA",25293.00000,"SESA","","","","","","","","","","","",""
2002-01-14 14:07:00,"I-02014-0000151","Centennial Communications Corp","3349 Route 138  Bldg A","","Wall","NJ","07719     ","001","01/21/2002","01/21/2004","Systems Analyst Configuration Specialist ","01/14/2002","01/21/2002","01/21/2004","030","Certified",68000.00000,"Year",,"N","Miami","FL",64813.00000,"Other","2002","OES","","","","","","","","","",""
2002-01-14 14:08:00,"I-02014-0000153","University of Virginia","International Studies Office","208 Minor Hall, POB 400165","Charlottesville","VA","22904-4165","001","06/01/2002","05/30/2003","RES ASSOCIATE MATERIALS SCIENCE","01/14/2002","06/01/2002","05/30/2003","029","Certified",43000.00000,"Year",,"N","CHARLOTTESVILLE","VA",30950.00000,"SESA","","","","","","","","","","","",""
2002-01-14 14:09:00,"I-02014-0000155","Millennium Pharmaceuticals","One Broadway","","Cambridge","MA","02142     ","001","01/15/2002","01/15/2005","Sr. Director Regulatory Affairs","01/14/2002","01/15/2002","01/15/2005","041","Certified",140000.00000,"Year",165000.00000,"N","Cambridge","MA",80496.00000,"Other","2002","Online Wage Library","","","","","","","","","",""
2002-01-14 14:10:00,"I-02014-0000157","Cooper Bussmann, Inc.","114 Old State Road","","Ellisville","MO","63021     ","001","01/21/2002","01/21/2005","Oracle/Java Software Developer","01/14/2002","01/21/2002","01/21/2005","030","Certified",62000.00000,"Year",,"N","Ellisville","MO",46259.00000,"Other","2002","OES Wage Survey","","","","","","","","","",""
2002-01-14 14:11:00,"I-02014-0000159","Duke University and Medical Center","International Office","300 Alexander Avenue","Durham","NC","27705     ","001","06/15/2002","06/14/2005","Senior Research Scientist","01/14/2002","06/15/2002","06/14/2005","090","Certified",45000.00000,"Year",,"N","Durham","NC",27290.00000,"SESA","","","","","","","","","","","",""
2002-01-14 14:12:00,"I-02014-0000161","GANN LAW BOOKS","1 WASHINGTON PARK","","NEWARK","NJ","07102     ","001","04/01/2002","03/31/2005","PROGRAMMER ANALYST","01/14/2002","04/01/2002","03/31/2005","030","Certified",55000.00000,"Year",,"N","NEWARK","NJ",52700.00000,"Other","2001","WATSON WYATT DATA SERVICES","","","","","","","","","",""
2002-01-14 14:15:00,"I-02014-0000163","Inter City Mortgage","247 So. Mathilda Ave","","Sunnyvale","CA","94086     ","001","04/01/2002","03/31/2005","Loan Officer","01/14/2002","04/01/2002","03/31/2005","186","Certified",18.00000,"Hour",,"N","Sunnyvale","CA",18.16000,"Other","2000","OES","","","","","","","","","",""
2002-01-14 14:24:00,"I-02014-0000165","SBC SERVICES, INC.","2600 NORTH CENTRAL EXPRESSWAY","","RICHARDSON","TX","75080     ","001","03/21/2002","03/21/2005","ANALYST","01/14/2002","03/21/2002","03/21/2005","030","Certified",46000.00000,"Year",,"N","SAN RAMON","CA",48235.00000,"Other","2002","OES WAGE LIBRARY","","","","","","","","","",""
